Name,Designation,Photo,Profile,Avg_rating,no_ratings,id
S. Swapna,Faculty Associate,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Swapna-Image-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/s-swapna/,0.0,0,0
K. Nartkannai,Faculty Associate,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/MU-profilephoto-_1_-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/k-nartkannai/,0.0,0,1
Sravanthi.A,Faculty Associate,https://www.mahindrauniversity.edu.in/wp-content/uploads/2024/02/Sravanthi.A.webp,https://www.mahindrauniversity.edu.in/faculty/sravanthi-a/,0.0,0,2
Dr. Arya Kumar Bhattacharya,"Professor & Dean_x000D_
Research & Development",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/03/arya-kumar-bhattacharya_2-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/arya-kumar-bhattacharya/,0.0,0,3
Dr. Bishnu Pal,"Professor & Dean_x000D_
Ecole Centrale School of Engineering & HOD, Physics",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/06/Bishnu-Pal-Final.webp,https://www.mahindrauniversity.edu.in/faculty/bishnu-p-pal/,0.0,0,4
Visalakshi Talakokula,"Assistant Dean & Professor_x000D_
Civil Engineering",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/visalakshi-talakokila_1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/visalakshi-talakokula/,0.0,0,5
Paromita Bose,"Associate Professor & HOD, Humanities and Social Sciences",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Paromita-Bose_0-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/paromita-bose/,0.0,0,6
Salome Benhur,Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Salome-Benhur_1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/salome-benhur/,0.0,0,7
Ram Mohan Vemuri,"Professor & HOD, Electronics and Computer Engineering",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/ram-vemuri-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-ram-m-vemuri/,0.0,0,8
Arun Kumar Pujari,"HOD of  AI & CSE, Adviser & Professor Emeritus",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/03/arun-k-pujari_1-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/arun-k-pujari/,0.0,0,9
Raja Rao Tripuraneni,Professor,https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/raja-rao-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/dr-raja-rao-tripuraneni/,0.0,0,10
Rama Murthy Garimella,"Professor, Computer Science and Engineering",https://www.mahindrauniversity.edu.in/wp-content/uploads/2023/04/Rama-Murthy_2-removebg-preview.webp,https://www.mahindrauniversity.edu.in/faculty/rama-murthy/,0.0,0,11
